,Page Name,Facebook Link,Url,General Information,General Information_2,General Information_3,General Information_4
0,Car Repair NYC - New York City Auto Repair - Manhattan NY,https://web.facebook.com/Car-Repair-NYC-New-York-City-Auto-Repair-Manhattan-NY-248902591857537/?__tn__=%3C,[], 54 people like this 58 people follow this 5 people checked in here Oil Lube & Filter Service · Automotive Store ,Business details Price range  · $ ,Additional contact info http://www.uptownautorepair.net/nyc +1 212-876-1040 Send message ,More info AboutAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596 Additional informationAffordable AUTO Repair NYC| Car Repair Service:http://www.uptownautorepair.net/nyc (212)-876-1047   |   (347)-286-8596AUTO Repair NYC| Car Repair New… See more 
1,New York City Auto Repair Association,https://web.facebook.com/nycarassociation/?__tn__=%3C,[], 66 people like this 68 people follow this Charity Organization ,Additional contact info https://www.nycara.org/ +1 917-522-5912 info@nycara.org Send message ,More info AboutNew York City's first not-for-profit trade organization dedicated solely to auto repair shops. ,
2,Windshield Replacement Auto Glass Repair New York NY,https://web.facebook.com/Windshield-Replacement-Auto-Glass-Repair-New-York-NY-167774173367610/?__tn__=%3C,[], 2 people like this 2 people follow this 1 person checked in here Automotive Glass Service · Automotive Repair Shop · Glass Service ,Hours Always open ,Business details Price range  · $$ ,Additional contact info http://www.windshieldreplacementautoglassrepairnewyorkny.com/ +1 212-203-4819 Send message 
3,"Certified Auto Repair of New York Mills, Inc.",https://web.facebook.com/Certified-Auto-Repair-of-New-York-Mills-Inc-282732623054/?__tn__=%3C,[], 573 people like this 584 people follow this 32 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 7:30 AM - 5:30 PM ,Business details Price range  · $$ ,Additional contact info http://locations.autovalue.com/mn/new%20york%20mills/497066/ +1 218-385-4488 certautorepair@lakesplus.com Typically replies within an hourSend message 
4,New York City Photos,https://web.facebook.com/nydaily?__tn__=%3C,,,,,
5,Best Auto Repair NYC & Towing Service - Uptown Auto Repair New York,https://web.facebook.com/Best-Auto-Repair-NYC-Towing-Service-Uptown-Auto-Repair-New-York-112361068825211/?__tn__=%3C,[]," 172 people like this 177 people follow this Automotive, Aircraft & Boat ",Additional contact info http://www.manhattantowingservice.com/ Send message ,More info AboutBest Auto Repair NYC & Towing Service - Uptown Auto Repair New York Additional informationWe offer realiable Auto Repair and Towing Services in NYC. ,
6,Best Auto Repair NYC & Towing Service - Uptown Auto Repair New York,https://web.facebook.com/Best-Auto-Repair-NYC-Towing-Service-Uptown-Auto-Repair-New-York-112361068825211/?__tn__=%3C,[]," 172 people like this 177 people follow this Automotive, Aircraft & Boat ",Additional contact info http://www.manhattantowingservice.com/ Send message ,More info AboutBest Auto Repair NYC & Towing Service - Uptown Auto Repair New York Additional informationWe offer realiable Auto Repair and Towing Services in NYC. ,
7,Barnett Auto Repair,https://web.facebook.com/BarnettAutoRepair/?__tn__=%3C,[], 287 people like this 299 people follow this 6 people checked in here Automotive Repair Shop · Automotive Restoration Service · Automotive Customization Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.barnettautorepair.com/ +1 718-786-5640 Send message 
8,AutoClinic Mahopac New York,https://web.facebook.com/AutoClinicofMahopac/?__tn__=%3C,[], 280 people like this 295 people follow this 20 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.autoclinicofny.com/ +1 845-628-6668 autoclinicofny@gmail.com AwaySend message 
9,Blast Auto Lube & Repair Center,https://web.facebook.com/blastauto/?__tn__=%3C,[], 70 people like this 74 people follow this 4 people checked in here Oil Lube & Filter Service · Tire Dealer & Repair Shop · Automotive Repair Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.blastauto.com/ +1 718-449-0953 Send message 
10,VIP Car Care Center,https://web.facebook.com/VIPCARCARECENTER/?__tn__=%3C,[], 3 people like this 3 people follow this 2 people checked in here Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 8:00 AM - 6:00 PM ,Additional contact info +1 718-854-8822 Send message ,More info AboutLeading automotive repair shop located in the heart of Brooklyn new york. We specialize in all foreign and domestic car repairs.  
11,Auto PhD New York,https://web.facebook.com/autophdnewyork/?__tn__=%3C,[], 267 people like this 285 people follow this 9 people checked in here Automotive Repair Shop · Motor vehicle company · Local Service ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.autophd.com/ +1 516-283-2100 info@autophd.com Send message 
12,CarMart Auto Services,https://web.facebook.com/carmartautoservices/?__tn__=%3C,[], 537 people like this 539 people follow this Automotive Repair Shop · Car dealership · Tire Dealer & Repair Shop ,Hours Closed now 9:00 AM - 5:00 PM ,Additional contact info https://www.carmartautoservices.com/ +1 516-636-5600 info@melvilleautosales.com Send message ,More info AboutWelcome to Melville Auto Services Inc. We are a full service New York used car dealer located in Melville serving the towns of Suffolk County Plainview NY 
13,21 st century auto repair.,https://web.facebook.com/21-st-century-auto-repair-293196488065883/?__tn__=%3C,[], 24 people like this 24 people follow this Cars ,Hours Closed now 8:00 AM - 6:00 PM ,Additional contact info +1 917-640-2853 Send message ,More info Aboutwe fix any cars.  
14,New York Bad Credit Rescue,https://web.facebook.com/New-York-Bad-Credit-Rescue-352954558136341/?__tn__=%3C,[], 9 people like this 9 people follow this Credit Counseling Service ,Hours Always open ,Business details Price range  · $$$$ ,Additional contact info http://www.badcreditrescue.com/ badcreditrescue@gmail.com Send message 
15,C&N Auto Repair,https://web.facebook.com/CNAutoRepairinc/?__tn__=%3C,[], 51 people like this 54 people follow this 21 people checked in here Automotive Repair Shop · Oil Lube & Filter Service · Tire Dealer & Repair Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info +1 718-218-9319 ccaceres9158@yahoo.com Send message 
16,Car doctor auto repair & body work,https://web.facebook.com/Car-doctor-auto-repair-body-work-289508824717916/?__tn__=%3C,[], 45 people like this 46 people follow this 1 person checked in here Automotive Body Shop ,Business details Price range  · $ ,Additional contact info +1 718-440-6242 Send message ,
17,Alpha Car Care,https://web.facebook.com/alphacarcare/?__tn__=%3C,[], 107 people like this 105 people follow this 63 people checked in here Automotive Repair Shop · Tire Dealer & Repair Shop · Oil Lube & Filter Service ,Hours Closed now 8:00 AM - 5:00 PM ,Business details Price range  · $$ ,Additional contact info http://alphacarcare.com/ +1 516-294-0852 vinnyjr@alphacollision.com Send message 
18,Thomas Auto Repair Service,https://web.facebook.com/Thomas-Auto-Repair-Service-425688817636663/?__tn__=%3C,[], 19 people like this 19 people follow this 4 people checked in here Automotive Repair Shop · Automotive Store · Gas Station ,Hours Closed now 7:30 AM - 5:00 PM ,Business details Price range  · $ ,Additional contact info +1 718-424-9006 thomasautorepairservice@gmail.com Send message 
